STT,Quy cách,Mã gai,GIÁ BÁN LẺ
1,155R12C 8,GREEN-Max Van,"1,050,000"
2,5.00R12LT 10,GREEN-Max Van,"1,150,000"
3,155/70R12,RADIAL R701,"1,000,000"
4,155R12C,GREEN-Max Van,"1,000,000 "
5,165/65R13,GREEN-Max EcoTouring,"950,000"
6,165/70R13,GREEN-Max EcoTouring,"950,000"
7,165/70R13LT 8PR(HB),GREEN-Max Van,"1,350,000"
8,165/80R13 PCI TRIAL,CROSSWIND R791,"1,350,000"
9,165R13C 8,G-M VAN PLUS,"1,350,000"
10,175/70R13,CrossWind EcoTouring,"1,050,000"
11,175R13C 8,R666,"1,400,000"
12,145R13LT 8PR, MAX TRAC R771,"1,100,000 "
13,145/70R13(HB),COMFORT MASTER,"750,000 "
14,155R13C 8PR(HB),GREEN-Max Van,"1,000,000 "
15,155/65R13(HB),GREEN-Max EcoTouring,"800,000 "
16,155/70R13(HB),COMFORT MASTER,"850,000 "
17,155/80R13(HB),COMFORT MASTER,"900,000 "
18,175/60R13(HB),MAX TRAC R771,"900,000 "
19,5.50R13LT,LL776,"1,800,000 "
20,175R13LT,RADIAL666,"1,350,000 "
21,155/65R14,COMFORT MASTER,"1,000,000 "
22,165/60R14,GREEN-Max HP010,"1,000,000"
23,165/65R14,GREEN-MAX ET,"1,050,000"
24,165/70R14,GREEN-MAX ET,"1,000,000"
25,175/65R14,CrossWind HP010,"1,100,000"
26,175/65R14,HP010 PLUS,"1,150,000"
27,175/70R14,CrossWind HP010,"1,150,000"
28,175/70R14,COMFORT MASTER,"1,200,000"
29,185/60R14,CrossWind HP010,"1,150,000"
30,185/65R14,CrossWind HP010,"1,200,000"
31,185/65R14,CROSSWIND ET,"1,200,000"
32,185/65R14,COMFORT MASTER,"1,200,000"
33,185/70R14,CrossWind HP010,"1,300,000"
34,185/70R14,HP010 PLUS,"1,300,000"
35,185/70R14,COMFORT MASTER,"1,300,000"
36,185R14C 8,GREEN-Max Van,"1,600,000"
37,185R14C 8,R666,"1,600,000"
38,195/70R14,HP010 PLUS,"1,400,000"
39,195/70R14,CrossWind HP010,"1,400,000"
40,195R14C 8PR R666,R666,"1,950,000"
41,175/60R14,COMFORT MASTER,"1,000,000 "
42,175R14LT 8PR (HB),GREEN-Max Van,"1,350,000 "
43,175/70R14C 6PR(HB),GREEN-Max Van,"1,300,000 "
44,175/70R14,COMFORT MASTER,"1,100,000 "
45,185/65R14,COMFORT MASTER,"1,100,000 "
46,175/50R15,CROSSWIND R791,"1,200,000"
47,185/55R15,GREEN-Max HP010,"1,250,000"
48,185/60R15,HP010 PLUS,"1,250,000"
49,185/60R15 CW,CrossWind HP010,"1,250,000"
50,185/60R15 CM,COMFORT MASTER,"1,250,000"
51,185/65R15,HP010 PLUS,"1,400,000"
52,185/65R15 CW,CrossWind HP010,"1,400,000"
53,195/55R15,GREEN-MAX HP010,"1,300,000"
54,195/55R15 CM,COMFORT MASTER,"1,300,000"
55,195/60R15,CrossWind HP010,"1,300,000"
56,195/65R15,CW HP010,"1,400,000"
57,195/65R15 CM,COMFORT MASTER,"1,400,000"
58,195/65R15,HP010 PLUS,"1,400,000"
59,195R15C 8,GREEN-Max Van,"1,850,000"
60,205/65R15 CW,CrossWind HP010,"1,550,000"
61,205/65R15,HP010 PLUS,"1,550,000"
62,205/70R15C 8PR,GREEN-Max Van PLUS,"1,950,000"
63,205/70R15C 8,RADIAL R666,"1,950,000"
64,205/70R15,CrossWind EcoTouring,"1,750,000"
65,215/70R15,CrossWind EcoTouring,"1,850,000"
66,225/70R15C 8,GREEN-Max Van,"2,200,000"
67,235/75R15 A/T,CROSSWIND A/T,"2,550,000"
68,235/75R15,CrossWind EcoTouring,"2,400,000"
69,LT235/75R15 6,CROSSWIND M/T,"3,050,000"
70,255/70R15,CrossWind HP010,"2,550,000"
71,255/70R15 A/T,CROSSWIND A/T,"2,900,000"
72,265/70R15,CROSSWIND A/T,"2,950,000"
73,31X10.50R15LT 6,CROSSWIND AT-2,"3,550,000"
74,175/55R15(HB),COMFORT MASTER,"1,050,000 "
75,175/60R15(HB),COMFORT MASTER,"1,100,000 "
76,195/55R15,COMFORT MASTER,"1,300,000 "
77,195/70R15C 10PR(HB),RADIAL666,"1,600,000 "
78,185/55R16,CrossWind HP010 N,"1,250,000"
79,195/50R16,CrossWind HP010,"1,400,000"
80,195/55R16 CW,CrossWind HP010,"1,400,000"
81,195/55R16,HP010 PLUS,"1,400,000"
82,205/55R16,CrossWind HP010,"1,550,000"
83,205/60R16 CW,CrossWind HP010,"1,600,000"
84,205/60R16,HP010 PLUS,"1,600,000"
