STT,Mã gai (Tên đầy đủ),Phân loại chính,Ứng dụng cụ thể,Ưu điểm cốt lõi,Xuất xứ phổ biến (Thái Lan/TQ)
1,GREEN-Max Van,Xe Tải Nhẹ/Thương Mại,"Xe van, xe thương mại chở hàng nhẹ","Bền bỉ, chịu tải tốt, vận hành ổn định, bám đường tốt mọi thời tiết, tiết kiệm nhiên liệu.","Thái Lan, Trung Quốc"
2,GREEN-Max Van Plus (G-M VAN PLUS),Xe Tải Nhẹ/Thương Mại,"Xe van, xe thương mại (phiên bản cải tiến)","Tương tự Green-Max Van, có thể cải thiện thêm về độ bền hoặc hiệu suất.",Thái Lan
3,GREEN-Max Van HP,Xe Tải Nhẹ/Thương Mại,"Xe van, xe thương mại cần hiệu suất cao","Độ bám đường cao, ổn định tuyệt vời, lực lái tốt khi vào cua, hiệu quả năng lượng.",Thái Lan
4,RADIAL R701,Xe Du Lịch (Chuyên dụng),Lốp cho xe kéo (trailer),"Tiêu thụ nhiên liệu thấp, hiệu suất mọi mùa, kiểm soát tốt, độ bền tải trọng.",Thái Lan
5,GREEN-Max EcoTouring / GREEN-MAX ET,Xe Du Lịch,"Di chuyển hàng ngày, đường đô thị, đường trường","Lực cản lăn thấp, tiết kiệm nhiên liệu, độ ồn thấp, êm ái, hiệu suất tốt trên đường ướt.","Thái Lan, Trung Quốc"
6,CROSSWIND R791,Xe Du Lịch (Chuyên dụng),"Taxi, xe dịch vụ yêu cầu độ bền cao","Chống mài mòn cao, êm ái, thoải mái, vận hành tốt.",Thái Lan
7,Cross Wind Eco Touring / CROSSWIND ET,Xe Du Lịch,"Di chuyển hàng ngày, đường trường","Chống mài mòn tuyệt vời, độ ồn thấp, thoát nước tốt, bám đường ướt, ổn định, thoải mái.",Thái Lan
8,R666 / RADIAL666,Xe Tải Nhẹ/Thương Mại,"Xe van, xe tải nhẹ","Độ bám đường tuyệt vời, phanh tốt trên đường ướt, chống mài mòn cao, thoát nước nhanh.","Thái Lan, Trung Quốc"
9,MAX TRAC R771,Xe Du Lịch/Tải nhẹ (cần làm rõ),"Xe nhỏ, xe tải nhỏ (dựa trên quy cách)","Chống mài mòn cao, tự làm sạch (phiên bản tải nhẹ) HOẶC xử lý tuyệt vời, ổn định, êm ái (phiên bản UHP - cần xác minh).",Trung Quốc
10,COMFORT MASTER,Xe Du Lịch (Dòng MASTER),"Di chuyển hàng ngày, ưu tiên sự thoải mái và an toàn","Êm ái, yên tĩnh, lực cản lăn thấp (tiết kiệm nhiên liệu), bám đường ướt tốt, công nghệ MASTER series.","Thái Lan, Trung Quốc"
11,LL776,Xe Tải Nhẹ/Thương Mại,"Xe tải nhẹ, ứng dụng cơ bản","Giá rẻ, chống mài mòn cao, hiệu suất lái tốt.",Thái Lan
12,GREEN-Max HP010 / Cross Wind HP010,Xe Du Lịch (Hiệu suất cao),"Di chuyển hàng ngày, đường trường, yêu cầu hiệu suất khá","Xử lý tốt, ổn định ở tốc độ cao, tiết kiệm nhiên liệu, êm ái, bám đường tốt cả khô và ướt.","Thái Lan, Trung Quốc"
13,HP010 PLUS,Xe Du Lịch (Hiệu suất cao - Nâng cấp),"Tương tự HP010 nhưng có thể cải thiện thêm về hiệu suất, tuổi thọ","Xử lý nâng cao, hiệu suất mọi mùa, êm ái, độ bám tốt.",Thái Lan
14,CROSSWIND A/T / CW A/T,SUV/Bán Tải (Đa địa hình),Di chuyển hỗn hợp on-road và off-road nhẹ,"Hiệu suất tốt trên đường ướt, tự làm sạch tốt, cân bằng hiệu suất on-road/off-road, bám đường đa địa hình.","Thái Lan, Trung Quốc"
15,CROSSWIND M/T,SUV/Bán Tải (Địa hình bùn),"Off-road nặng, địa hình bùn lầy","Khả năng nổi cao, chịu tải cao, tự làm sạch tuyệt vời, gai lốp hầm hố, bám đường tốt, chống cắt mẻ.",Thái Lan
16,CROSSWIND H/T,SUV/Bán Tải (Đường trường),"Di chuyển chủ yếu trên đường nhựa, cao tốc","Bám đường tốt mọi thời tiết, êm ái, tuổi thọ gai lốp dài, kiểm soát tốt.",Thái Lan
17,CROSSWIND HT2,SUV/Bán Tải (Đường trường - Nâng cấp),"Tương tự H/T, có thể cải tiến về hiệu suất hoặc thiết kế","Tương tự H/T, có thể có thêm các cải tiến về độ bám, tuổi thọ hoặc sự thoải mái.",Thái Lan
18,CROSSWIND AT-2,SUV/Bán Tải (Đa địa hình - Nâng cấp),"Tương tự A/T, có thể cải tiến về hiệu suất off-road hoặc độ bền","Tương tự A/T, có thể có các cải tiến về độ bền, khả năng off-road hoặc sự êm ái trên đường trường.",Thái Lan
19,SPORT G5,Xe Du Lịch (Hiệu suất cao),"Di chuyển thể thao, yêu cầu độ bám và kiểm soát","Kiểm soát tốt, hiệu suất tốc độ cao, bám đường tốt mọi mùa, cơ động.",Thái Lan
20,SPORT MASTER (SP),Xe Du Lịch (UHP - Dòng MASTER),"Xe thể thao, xe hiệu suất cực cao","Hiệu suất lái vượt trội khô/ướt, động lực học vào cua cực cao, an toàn tối đa, êm ái, công nghệ MASTER series và công nghệ UHP chuyên biệt.","Thái Lan, Trung Quốc"
21,GREEN-Max (UHP),Xe Du Lịch (UHP),"Xe thể thao, xe hiệu suất cực cao","Xử lý tuyệt vời, bám đường vượt trội khô/ướt, ổn định tốc độ cao, thoát nước tốt, giảm tiếng ồn.",Thái Lan
22,GRIP MASTER C/S (CS),SUV (HP - Dòng MASTER),"SUV yêu cầu độ bám, thoải mái và an toàn cao","Xử lý tốt, thoải mái, bám đường và xử lý tuyệt vời, êm ái, bám đường ướt vượt trội, công nghệ MASTER series.","Thái Lan, Trung Quốc"
23,CROSSWIND 4X4 HP,SUV (HP),"SUV đô thị, yêu cầu cân bằng hiệu suất, thoải mái, an toàn","Xử lý tuyệt vời, thoát nước tốt, ổn định, độ ồn thấp, sản phẩm xanh.",Thái Lan
24,Cross Wind (UHP),Xe Du Lịch (UHP),"Xe thể thao, xe hiệu suất cực cao","Bám đường tốt mọi mùa, hiệu suất tốc độ cao, yên tĩnh, kiểm soát tốt.",Thái Lan
25,AR200,Xe Du Lịch,"Di chuyển hàng ngày, có thể có phiên bản RunFlat","Xử lý tốt, thoải mái, ổn định, thoát nước tốt (phiên bản RunFlat). Bền bỉ, bám đường, êm ái (chung).",Trung Quốc
26,LAL812,Xe Tải Nhẹ/Thương Mại,"Xe tải nhẹ, mini van chạy đường trường","Hiệu suất mọi mùa, kiểm soát tốt, bền bỉ, tuổi thọ gai lốp dài.",Trung Quốc
27,E-ME,Lốp Xe Điện (EV),Xe điện,"Lực cản lăn thấp, giảm tiếng ồn, chịu tải tốt, bền bỉ (suy luận từ đặc tính lốp EV chung và các dòng EV khác của Linglong).",Trung Quốc
28,SME / SM E (SPORT MASTER e),Lốp Xe Điện (EV - Hiệu suất cao),Xe điện hiệu suất cao,"Hiệu suất cản lăn, bám ướt, tiếng ồn xuất sắc (AAA EU Label cho Sport Master e), tăng phạm vi hoạt động, giảm ồn cabin.",Trung Quốc
