Make,Model,Version,year,Position,Size,Width,Aspect ratio,Structure,Rim,Brand,Pattern,Load,Speed,CAI, Price (VND) ,Tyre_type,PO
MAZDA,6,luxury/prenium,2019,Front/Rear,225/45R19,225,45,R,19,,,,,,,PASSENGER CAR,
FORD,EXPLORER,3.5 V6,2017,Front/Rear,245/60R18,245,60,R,18,MI,,,,,,SUV,
TOYOTA,HIGHLANDER,US,2018,Front/Rear,245/60R18,245,60,R,18,MI,Michelin Latitude,105,T,,,SUV,
FORD,EVEREST,TITANIUM,2019-2020,Front/Rear,265/50R20,265,50,R,20,,,,,,,,
Volkswagen ,Tiguan,,2019-2020,Front/Rear,235/50R19,235,50,R,19,,,,,,,,
MAZDA,CX-9,Mazda CX-9 2.5 AWD 2 CẦU,2020,,255/50R20,255,50,R,20,MI,PILOT SPORT 4 SUV,109,Y,579370,"  7,425,000 ",SUV,
BAIC,Q7,Elite,2020,Front/Rear,225/55R18,225,55,R,18,MI,Primacy 3ST,,,,,,
CHEVROLET,TRAILBLAZER,2.5 4x2 mt at,2018,Front/Rear,255/65R17,255,65,R,17,BFG,Advantage T/A SUV Go,,,,,SUV,
CHEVROLET,CAPTIVA,,2019,Front/Rear,235/50R19,235,50,R,19,,,,,,,,
FORD,EXPLORER,ecoboost,2017,Front/Rear,255/65R18,255,65,R,18,MI,,,,,,SUV,
TOYOTA,RAV-4,LIMITED,2015,Front/Rear,225/65R18,225,65,R,18,,,,,,,,
BAIC,SENOVA X55,,2020,Front/Rear,225/50R18,225,50,R,18,,,,,,,,
BAIC,BJ40,,2020,Front/Rear,245/65R17,245,65,R,17,,,,,,,,
NISSAN,NAVARA,PRENIUM EL,2019,Front/Rear,255/70R16,255,70,R,16,,,,,,,,
MERCEDES,SPRINTER,`,2008,Front/Rear,225/70R15,,,,,,,,,,,,
SUZUKI,XL-7,,2020,Front/Rear,195/60R16,,,,,,,,,,,,
VINFAST,LUX A2.0,BASIC,2020,Front/Rear,245/45R18,,,,,,,,,,,,
VINFAST,LUX A2.0,PRENIUM EL,2020,Front,245/40R19,,,,,,,,,,,,
VINFAST,LUX A2.0,PRENIUM EL,2020,REAR,275/35R19,,,,,,,,,,,,
